hispanic,white,black,native,multiple,CENSUS_TRACT,api,tract,state,county
48,1518,18,34,100,37039930604,90,930604,37,039
49,1845,14,13,94,37039930605,40,930605,37,039
53,2211,13,24,83,37039930606,30,930606,37,039
210,2152,2361,14,121,37041930101,261,930101,37,041
67,1500,540,2,77,37041930102,00,930102,37,041
199,3411,576,18,126,37041930201,80,930201,37,041
54,1205,899,9,75,37041930202,50,930202,37,041
81,2562,8,13,87,37043950101,113,950101,37,043
88,2500,8,5,106,37043950102,120,950102,37,043
137,2140,18,6,88,37043950201,94,950201,37,043
132,2842,26,20,128,37043950202,80,950202,37,043
123,4746,70,10,89,37045950101,132,950101,37,045
51,2413,72,2,77,37045950102,110,950102,37,045
123,3573,759,15,184,37045950200,161,950200,37,045
284,3340,892,8,249,37045950301,322,950301,37,045
234,4729,643,5,251,37045950302,484,950302,37,045
307,4971,1447,23,295,37045950400,1530,950400,37,045
141,2535,824,5,148,37045950500,191,950500,37,045
152,3170,436,5,158,37045950601,700,950601,37,045
78,2395,395,10,94,37045950603,916,950603,37,045
108,2178,416,14,119,37045950604,271,950604,37,045
129,2348,1021,6,99,37045950701,410,950701,37,045
133,2278,1184,5,111,37045950702,640,950702,37,045
197,3014,943,6,166,37045950800,180,950800,37,045
125,689,2040,9,106,37045950900,211,950900,37,045
132,1915,1178,2,117,37045951000,124,951000,37,045
258,1647,1411,12,142,37045951100,270,951100,37,045
321,3104,1862,30,269,37045951200,670,951200,37,045
119,2275,260,5,111,37045951300,200,951300,37,045
282,4949,1077,12,227,37045951400,200,951400,37,045
229,4648,617,13,198,37045951501,400,951501,37,045
51,1154,50,4,52,37045951502,01,951502,37,045
88,1931,331,5,79,37045951503,90,951503,37,045
126,2775,1239,9,145,37045951601,200,951601,37,045
248,3386,867,7,173,37045951602,150,951602,37,045
265,1980,1383,100,138,37047930100,32,930100,37,047
69,807,472,407,71,37047930200,40,930200,37,047
26,1553,266,396,72,37047930300,120,930300,37,047
328,1640,1174,276,127,37047930400,90,930400,37,047
160,2338,1358,70,107,37047930500,40,930500,37,047
114,2020,690,42,67,37047930600,31,930600,37,047
132,2125,1617,77,110,37047930700,120,930700,37,047
114,2609,1047,37,67,37047930800,450,930800,37,047
219,1572,2001,71,166,37047930900,190,930900,37,047
400,2940,1226,81,175,37047931000,84,931000,37,047
106,3078,307,23,74,37047931100,60,931100,37,047
200,2831,1879,48,84,37047931201,230,931201,37,047
88,1001,672,12,46,37047931202,10,931202,37,047
221,1600,355,14,67,37047931301,22,931301,37,047
171,1925,56,16,36,37047931302,51,931302,37,047
141,3264,186,9,129,37049960101,351,960101,37,049
227,3625,442,24,182,37049960102,202,960102,37,049
190,2371,939,8,117,37049960201,50,960201,37,049
208,2837,1334,46,135,37049960202,80,960202,37,049
153,2041,869,2,102,37049960301,211,960301,37,049
214,1930,813,6,100,37049960302,90,960302,37,049
226,3361,874,16,202,37049960401,1874,960401,37,049
146,1854,1271,7,117,37049960402,2292,960402,37,049
71,3785,51,3,116,37049960403,390,960403,37,049
93,2449,264,5,81,37049960404,225,960404,37,049
264,2144,1257,8,191,37049960501,2431,960501,37,049
